Titulo,Empresa,Ubicacion,Descripcion,Responsabilidades,Requisitos,Rango salarial,Tipo de empleo,Nivel de experiencia,Habilidades requeridas,Fecha de publicacion,Estado del empleo,Categoria de trabajo
Coordinador logistico,Davivienda,Cartagena,Davivienda requiere un coordinador logistico para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Planificaras y supervisaras las operaciones logisticas, gestionaras inventarios y coordinaras entregas con eficiencia operativa.","Tecnologo o profesional en logistica, con experiencia comprobada de 3 años en operaciones logisticas y manejo de software ERP.",2.974.155,tiempo_completo,entry,"Redaccion de informes, Normas ISO, Planificacion estrategica, Manejo de agendas",2025-05-16 15:48:29,True,administracion
Gerente administrativo,Postobon,Medellin,Postobon requiere un gerente administrativo para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Seras responsable de liderar el area administrativa, supervisar la gestion financiera, implementar politicas internas y asegurar el cumplimiento normativo.",Administrador de empresas con minimo 6 años de experiencia gerencial. Dominio de herramientas financieras y conocimientos contables solidos.,2.830.441,tiempo_completo,entry,"Facturacion, Power BI, Atencion al cliente, SAP, Presupuestos",2025-05-04 12:43:29,True,administracion
Coordinador de proyectos,Alpina,Barranquilla,Alpina requiere un coordinador de proyectos para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Estaras encargado de planificar, ejecutar y dar seguimiento a proyectos corporativos, garantizando el cumplimiento de plazos, presupuestos y objetivos estrategicos.","Profesional en administracion o ingenieria, con experiencia minima de 3 años gestionando proyectos. Certificacion PMP es un diferencial.",2.891.618,medio_tiempo,entry,"Presupuestos, Power BI, Manejo de bases de datos, SAP, Normas ISO, Facturacion",2025-05-02 05:25:29,True,administracion
Gerente administrativo,Colpatria,Barranquilla,Colpatria requiere un gerente administrativo para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Seras responsable de liderar el area administrativa, supervisar la gestion financiera, implementar politicas internas y asegurar el cumplimiento normativo.",Administrador de empresas con minimo 6 años de experiencia gerencial. Dominio de herramientas financieras y conocimientos contables solidos.,3.664.527,remoto,mid,"Contabilidad basica, Normas ISO, Facturacion, Planificacion estrategica",2025-04-30 20:41:29,True,administracion
Director de planeacion,Grupo Sura,Bogota,Grupo Sura requiere un director de planeacion para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Diseñaras estrategias organizacionales, evaluaras indicadores de gestion y lideraras procesos de planeacion a mediano y largo plazo.","Profesional en administracion, economia o ingenieria. Experiencia de 5 años en planeacion estrategica y analisis de datos. Conocimiento en Power BI.",2.588.001,remoto,entry,"Atencion al cliente, Facturacion, Manejo de bases de datos, Presupuestos, Redaccion de informes, Power BI",2025-04-22 17:29:29,True,administracion
Secretaria ejecutiva,Colpatria,Cali,Colpatria requiere un secretaria ejecutiva para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Apoyaras a la alta direccion en la gestion de agendas, redaccion de comunicaciones, logistica de reuniones y manejo de informacion confidencial.","Tecnico en asistencia administrativa, con minimo 2 años de experiencia en cargos similares. Habilidades en redaccion y manejo de herramientas ofimaticas.",4.341.509,freelance,mid,"Redaccion de informes, Excel, Facturacion, Presupuestos, Contabilidad basica",2025-04-26 21:00:29,True,administracion
Analista de operaciones,Colpatria,Barranquilla,Colpatria requiere un analista de operaciones para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Supervisaras procesos operativos diarios, realizaras seguimiento de indicadores clave y coordinaras mejoras en los flujos de trabajo de la cadena de valor.","Profesional en ingenieria industrial o carreras afines, con minimo 2 años en cargos similares. Conocimiento en ERP y manejo de Excel intermedio.",4.076.037,remoto,mid,"Planificacion estrategica, Gestion documental, SAP, Power BI, Contabilidad basica, Manejo de agendas",2025-05-15 13:19:29,True,administracion
Analista de gestion,Postobon,Cali,Postobon requiere un analista de gestion para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Elaboraras informes de gestion, haras seguimiento a planes de mejora y apoyarás la implementacion de procesos de calidad.",Profesional en administracion o ingenieria industrial. Experiencia de 2 años en gestion de procesos y manejo de herramientas de seguimiento.,3.679.505,pasantia,mid,"Excel, Presupuestos, Planificacion estrategica, Normas ISO, Manejo de bases de datos",2025-05-13 17:42:29,True,administracion
Secretaria ejecutiva,Bancolombia,Bogota,Bancolombia requiere un secretaria ejecutiva para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Apoyaras a la alta direccion en la gestion de agendas, redaccion de comunicaciones, logistica de reuniones y manejo de informacion confidencial.","Tecnico en asistencia administrativa, con minimo 2 años de experiencia en cargos similares. Habilidades en redaccion y manejo de herramientas ofimaticas.",6.351.155,tiempo_completo,senior,"Manejo de bases de datos, Planificacion estrategica, Redaccion de informes, ERP, Atencion al cliente, Power BI, Excel",2025-05-18 08:32:29,True,administracion
Gerente administrativo,Davivienda,Bucaramanga,Davivienda requiere un gerente administrativo para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Seras responsable de liderar el area administrativa, supervisar la gestion financiera, implementar politicas internas y asegurar el cumplimiento normativo.",Administrador de empresas con minimo 6 años de experiencia gerencial. Dominio de herramientas financieras y conocimientos contables solidos.,2.753.905,tiempo_completo,entry,"ERP, Redaccion de informes, Power BI, SAP, Manejo de bases de datos, Contabilidad basica",2025-05-01 22:44:29,True,administracion
Analista de operaciones,Colpatria,Cali,Colpatria requiere un analista de operaciones para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Supervisaras procesos operativos diarios, realizaras seguimiento de indicadores clave y coordinaras mejoras en los flujos de trabajo de la cadena de valor.","Profesional en ingenieria industrial o carreras afines, con minimo 2 años en cargos similares. Conocimiento en ERP y manejo de Excel intermedio.",2.520.648,remoto,entry,"Manejo de agendas, Normas ISO, ERP, Redaccion de informes, Gestion documental, Planificacion estrategica",2025-04-21 12:18:29,True,administracion
Coordinador logistico,Colpatria,Medellin,Colpatria requiere un coordinador logistico para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Planificaras y supervisaras las operaciones logisticas, gestionaras inventarios y coordinaras entregas con eficiencia operativa.","Tecnologo o profesional en logistica, con experiencia comprobada de 3 años en operaciones logisticas y manejo de software ERP.",5.892.610,medio_tiempo,senior,"Manejo de bases de datos, Atencion al cliente, Manejo de agendas, Planificacion estrategica",2025-05-12 05:29:29,True,administracion
Analista de gestion,Alpina,Bucaramanga,Alpina requiere un analista de gestion para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Elaboraras informes de gestion, haras seguimiento a planes de mejora y apoyarás la implementacion de procesos de calidad.",Profesional en administracion o ingenieria industrial. Experiencia de 2 años en gestion de procesos y manejo de herramientas de seguimiento.,5.750.708,pasantia,senior,"Redaccion de informes, Manejo de bases de datos, Presupuestos, Atencion al cliente, Contabilidad basica, Normas ISO, Excel",2025-04-30 12:50:29,True,administracion
Director de planeacion,Colsubsidio,Cartagena,Colsubsidio requiere un director de planeacion para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Diseñaras estrategias organizacionales, evaluaras indicadores de gestion y lideraras procesos de planeacion a mediano y largo plazo.","Profesional en administracion, economia o ingenieria. Experiencia de 5 años en planeacion estrategica y analisis de datos. Conocimiento en Power BI.",2.298.238,remoto,entry,"Redaccion de informes, Presupuestos, Manejo de agendas, Normas ISO, Planificacion estrategica, Manejo de bases de datos",2025-05-03 02:53:29,True,administracion
Gerente administrativo,Colsubsidio,Bogota,Colsubsidio requiere un gerente administrativo para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Seras responsable de liderar el area administrativa, supervisar la gestion financiera, implementar politicas internas y asegurar el cumplimiento normativo.",Administrador de empresas con minimo 6 años de experiencia gerencial. Dominio de herramientas financieras y conocimientos contables solidos.,2.319.183,freelance,entry,"Facturacion, Manejo de agendas, Planificacion estrategica, Contabilidad basica, Power BI",2025-05-11 13:22:29,True,administracion
Coordinador logistico,Colsubsidio,Manizales,Colsubsidio requiere un coordinador logistico para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Planificaras y supervisaras las operaciones logisticas, gestionaras inventarios y coordinaras entregas con eficiencia operativa.","Tecnologo o profesional en logistica, con experiencia comprobada de 3 años en operaciones logisticas y manejo de software ERP.",3.681.494,remoto,mid,"Gestion documental, Excel, Planificacion estrategica, Redaccion de informes, Manejo de agendas, ERP",2025-04-19 02:18:29,True,administracion
Gerente administrativo,TCC,Cali,TCC requiere un gerente administrativo para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Seras responsable de liderar el area administrativa, supervisar la gestion financiera, implementar politicas internas y asegurar el cumplimiento normativo.",Administrador de empresas con minimo 6 años de experiencia gerencial. Dominio de herramientas financieras y conocimientos contables solidos.,2.499.392,pasantia,entry,"Manejo de bases de datos, Manejo de agendas, Redaccion de informes, Facturacion",2025-05-01 05:48:29,True,administracion
Analista de operaciones,Grupo Sura,Barranquilla,Grupo Sura requiere un analista de operaciones para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Supervisaras procesos operativos diarios, realizaras seguimiento de indicadores clave y coordinaras mejoras en los flujos de trabajo de la cadena de valor.","Profesional en ingenieria industrial o carreras afines, con minimo 2 años en cargos similares. Conocimiento en ERP y manejo de Excel intermedio.",4.403.622,medio_tiempo,mid,"Manejo de bases de datos, Redaccion de informes, Facturacion, Presupuestos, Excel, Power BI",2025-05-02 10:54:29,True,administracion
Gerente administrativo,Coomeva,Cartagena,Coomeva requiere un gerente administrativo para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Seras responsable de liderar el area administrativa, supervisar la gestion financiera, implementar politicas internas y asegurar el cumplimiento normativo.",Administrador de empresas con minimo 6 años de experiencia gerencial. Dominio de herramientas financieras y conocimientos contables solidos.,5.888.964,medio_tiempo,senior,"Gestion documental, Manejo de agendas, Redaccion de informes, Contabilidad basica, Power BI, ERP",2025-04-26 07:03:29,True,administracion
Analista de gestion,Servientrega,Cali,Servientrega requiere un analista de gestion para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Elaboraras informes de gestion, haras seguimiento a planes de mejora y apoyarás la implementacion de procesos de calidad.",Profesional en administracion o ingenieria industrial. Experiencia de 2 años en gestion de procesos y manejo de herramientas de seguimiento.,3.792.501,remoto,mid,"Manejo de agendas, ERP, Power BI, Planificacion estrategica, Atencion al cliente, Gestion documental, SAP",2025-05-16 11:35:29,True,administracion
Auxiliar contable,Alpina,Bucaramanga,Alpina requiere un auxiliar contable para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Registrarás operaciones contables, revisarás soportes de pago, generarás informes financieros basicos y apoyarás los cierres mensuales.","Tecnico o tecnologo en contabilidad, experiencia de al menos 1 año en registros contables, manejo de software contable y conocimientos en retenciones.",5.595.327,pasantia,senior,"Contabilidad basica, Gestion documental, Power BI, SAP, Planificacion estrategica, Manejo de bases de datos, Manejo de agendas",2025-05-06 01:50:29,True,administracion
Analista de gestion,Alpina,Bogota,Alpina requiere un analista de gestion para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Elaboraras informes de gestion, haras seguimiento a planes de mejora y apoyarás la implementacion de procesos de calidad.",Profesional en administracion o ingenieria industrial. Experiencia de 2 años en gestion de procesos y manejo de herramientas de seguimiento.,4.004.456,freelance,mid,"Manejo de agendas, Contabilidad basica, Excel, Power BI",2025-04-21 06:25:29,True,administracion
Analista de gestion,Colpatria,Bogota,Colpatria requiere un analista de gestion para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Elaboraras informes de gestion, haras seguimiento a planes de mejora y apoyarás la implementacion de procesos de calidad.",Profesional en administracion o ingenieria industrial. Experiencia de 2 años en gestion de procesos y manejo de herramientas de seguimiento.,6.326.981,freelance,senior,"SAP, Manejo de bases de datos, ERP, Gestion documental, Contabilidad basica, Atencion al cliente",2025-04-29 06:54:29,True,administracion
Analista de operaciones,Alpina,Bucaramanga,Alpina requiere un analista de operaciones para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Supervisaras procesos operativos diarios, realizaras seguimiento de indicadores clave y coordinaras mejoras en los flujos de trabajo de la cadena de valor.","Profesional en ingenieria industrial o carreras afines, con minimo 2 años en cargos similares. Conocimiento en ERP y manejo de Excel intermedio.",6.286.937,remoto,senior,"Normas ISO, Power BI, ERP, Presupuestos",2025-05-08 02:20:29,True,administracion
Auxiliar contable,TCC,Bucaramanga,TCC requiere un auxiliar contable para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Registrarás operaciones contables, revisarás soportes de pago, generarás informes financieros basicos y apoyarás los cierres mensuales.","Tecnico o tecnologo en contabilidad, experiencia de al menos 1 año en registros contables, manejo de software contable y conocimientos en retenciones.",3.117.797,tiempo_completo,entry,"Power BI, Gestion documental, Atencion al cliente, Excel",2025-05-07 14:06:29,True,administracion
Jefe de oficina,Coomeva,Bucaramanga,Coomeva requiere un jefe de oficina para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Dirigiras las operaciones diarias de la sede, coordinaras al equipo de trabajo, velaras por el cumplimiento de metas y optimizaras los procesos administrativos.","Profesional en administracion o afines, con minimo 5 años liderando equipos y experiencia en gestion operativa y comercial.",4.155.896,pasantia,mid,"Atencion al cliente, Facturacion, ERP, Excel, Contabilidad basica",2025-04-29 15:36:29,True,administracion
Analista de gestion,Coomeva,Cali,Coomeva requiere un analista de gestion para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Elaboraras informes de gestion, haras seguimiento a planes de mejora y apoyarás la implementacion de procesos de calidad.",Profesional en administracion o ingenieria industrial. Experiencia de 2 años en gestion de procesos y manejo de herramientas de seguimiento.,4.212.677,tiempo_completo,mid,"Manejo de bases de datos, Gestion documental, Presupuestos, Redaccion de informes, ERP, Atencion al cliente, Planificacion estrategica",2025-05-13 09:58:29,True,administracion
Analista de gestion,TCC,Bogota,TCC requiere un analista de gestion para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Elaboraras informes de gestion, haras seguimiento a planes de mejora y apoyarás la implementacion de procesos de calidad.",Profesional en administracion o ingenieria industrial. Experiencia de 2 años en gestion de procesos y manejo de herramientas de seguimiento.,3.798.515,medio_tiempo,mid,"Manejo de agendas, Gestion documental, Contabilidad basica, Power BI, Normas ISO, Planificacion estrategica",2025-05-01 00:28:29,True,administracion
Jefe de oficina,Davivienda,Medellin,Davivienda requiere un jefe de oficina para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Dirigiras las operaciones diarias de la sede, coordinaras al equipo de trabajo, velaras por el cumplimiento de metas y optimizaras los procesos administrativos.","Profesional en administracion o afines, con minimo 5 años liderando equipos y experiencia en gestion operativa y comercial.",5.974.096,freelance,senior,"Contabilidad basica, Facturacion, Manejo de bases de datos, Gestion documental, Power BI",2025-05-07 16:03:29,True,administracion
Coordinador logistico,Servientrega,Bucaramanga,Servientrega requiere un coordinador logistico para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Planificaras y supervisaras las operaciones logisticas, gestionaras inventarios y coordinaras entregas con eficiencia operativa.","Tecnologo o profesional en logistica, con experiencia comprobada de 3 años en operaciones logisticas y manejo de software ERP.",6.489.485,remoto,senior,"Contabilidad basica, Redaccion de informes, Manejo de agendas, Normas ISO, ERP, SAP",2025-05-10 20:45:29,True,administracion
Secretaria ejecutiva,Bancolombia,Medellin,Bancolombia requiere un secretaria ejecutiva para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Apoyaras a la alta direccion en la gestion de agendas, redaccion de comunicaciones, logistica de reuniones y manejo de informacion confidencial.","Tecnico en asistencia administrativa, con minimo 2 años de experiencia en cargos similares. Habilidades en redaccion y manejo de herramientas ofimaticas.",5.682.199,remoto,senior,"ERP, Contabilidad basica, Planificacion estrategica, Manejo de bases de datos",2025-05-17 21:32:29,True,administracion
Coordinador de proyectos,Colsubsidio,Bogota,Colsubsidio requiere un coordinador de proyectos para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Estaras encargado de planificar, ejecutar y dar seguimiento a proyectos corporativos, garantizando el cumplimiento de plazos, presupuestos y objetivos estrategicos.","Profesional en administracion o ingenieria, con experiencia minima de 3 años gestionando proyectos. Certificacion PMP es un diferencial.",2.720.084,medio_tiempo,entry,"Power BI, Facturacion, Contabilidad basica, Normas ISO",2025-05-10 19:41:29,True,administracion
Director de planeacion,Bancolombia,Medellin,Bancolombia requiere un director de planeacion para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Diseñaras estrategias organizacionales, evaluaras indicadores de gestion y lideraras procesos de planeacion a mediano y largo plazo.","Profesional en administracion, economia o ingenieria. Experiencia de 5 años en planeacion estrategica y analisis de datos. Conocimiento en Power BI.",2.488.724,medio_tiempo,entry,"Atencion al cliente, Manejo de bases de datos, Facturacion, Presupuestos",2025-04-26 23:17:29,True,administracion
Coordinador logistico,Bancolombia,Barranquilla,Bancolombia requiere un coordinador logistico para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Planificaras y supervisaras las operaciones logisticas, gestionaras inventarios y coordinaras entregas con eficiencia operativa.","Tecnologo o profesional en logistica, con experiencia comprobada de 3 años en operaciones logisticas y manejo de software ERP.",2.657.358,pasantia,entry,"Gestion documental, Normas ISO, SAP, Power BI, ERP, Planificacion estrategica, Excel",2025-04-22 15:56:29,True,administracion
Auxiliar contable,TCC,Manizales,TCC requiere un auxiliar contable para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Registrarás operaciones contables, revisarás soportes de pago, generarás informes financieros basicos y apoyarás los cierres mensuales.","Tecnico o tecnologo en contabilidad, experiencia de al menos 1 año en registros contables, manejo de software contable y conocimientos en retenciones.",3.984.323,freelance,mid,"Power BI, ERP, SAP, Redaccion de informes, Gestion documental, Manejo de bases de datos",2025-04-22 11:33:29,True,administracion
Gerente administrativo,Davivienda,Manizales,Davivienda requiere un gerente administrativo para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Seras responsable de liderar el area administrativa, supervisar la gestion financiera, implementar politicas internas y asegurar el cumplimiento normativo.",Administrador de empresas con minimo 6 años de experiencia gerencial. Dominio de herramientas financieras y conocimientos contables solidos.,2.990.521,freelance,entry,"SAP, Atencion al cliente, Power BI, Manejo de agendas",2025-05-17 11:59:29,True,administracion
Auxiliar contable,Colpatria,Medellin,Colpatria requiere un auxiliar contable para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Registrarás operaciones contables, revisarás soportes de pago, generarás informes financieros basicos y apoyarás los cierres mensuales.","Tecnico o tecnologo en contabilidad, experiencia de al menos 1 año en registros contables, manejo de software contable y conocimientos en retenciones.",5.682.964,freelance,senior,"Facturacion, Gestion documental, Contabilidad basica, Manejo de agendas, Atencion al cliente, SAP",2025-05-14 13:20:29,True,administracion
Auxiliar contable,TCC,Manizales,TCC requiere un auxiliar contable para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Registrarás operaciones contables, revisarás soportes de pago, generarás informes financieros basicos y apoyarás los cierres mensuales.","Tecnico o tecnologo en contabilidad, experiencia de al menos 1 año en registros contables, manejo de software contable y conocimientos en retenciones.",2.492.902,pasantia,entry,"Gestion documental, ERP, Manejo de bases de datos, Manejo de agendas, Contabilidad basica, Presupuestos, Planificacion estrategica",2025-04-24 12:22:29,True,administracion
Coordinador de proyectos,Davivienda,Cartagena,Davivienda requiere un coordinador de proyectos para fortalecer procesos internos clave y asegurar el cumplimiento de objetivos operativos y administrativos.,"Estaras encargado de planificar, ejecutar y dar seguimiento a proyectos corporativos, garantizando el cumplimiento de plazos, presupuestos y objetivos estrategicos.","Profesional en administracion o ingenieria, con experiencia minima de 3 años gestionando proyectos. Certificacion PMP es un diferencial.",4.427.416,freelance,mid,"Redaccion de informes, Contabilidad basica, Atencion al cliente, ERP, Gestion documental, Presupuestos",2025-05-01 15:02:29,True,administracion
