Titulo,Empresa,Ubicacion,Descripcion,Responsabilidades,Requisitos,Rango salarial,Tipo de empleo,Nivel de experiencia,Habilidades requeridas,Fecha de publicacion,Estado del empleo,Categoria de trabajo
Auditor interno,Davivienda,Bucaramanga,Davivienda busca un perfil como auditor interno para integrarse a su equipo en Bucaramanga. El candidato ideal debera demostrar habilidades solidas en el area de auditor interno y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de auditor interno, Revisar procesos internos, Detectar desviaciones, Emitir informes de auditoria, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: profesional en contaduria o administracion, experiencia en auditorias internas., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",6.300.000,remoto,senior,"auditoria interna, gestion de riesgos, cumplimiento normativo",2025-05-02 15:55:11,True,finanzas
Auxiliar contable,Bancolombia,Barranquilla,Bancolombia busca un perfil como auxiliar contable para integrarse a su equipo en Barranquilla. El candidato ideal debera demostrar habilidades solidas en el area de auxiliar contable y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de auxiliar contable, Registrar operaciones contables, Conciliar cuentas, Apoyar procesos de cierre, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: tecnico contable, experiencia minima de 1 ano, manejo de software contable., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",2.400.000,medio_tiempo,mid,"registro contable, facturacion, conciliacion bancaria",2025-04-27 15:55:11,True,finanzas
Analista financiero,Davivienda,Santa Marta,Davivienda busca un perfil como analista financiero para integrarse a su equipo en Santa Marta. El candidato ideal debera demostrar habilidades solidas en el area de analista financiero y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de analista financiero, Elaborar reportes financieros, Analizar indicadores clave, Apoyar la planeacion financiera, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: profesional en economia, administracion o ingenieria industrial, experiencia minima de 2 anos., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",4.200.000,medio_tiempo,senior,"analisis financiero, manejo de excel, presentacion de informes",2025-04-27 15:55:11,True,finanzas
Auxiliar contable,Banco de Bogota,Santa Marta,Banco de Bogota busca un perfil como auxiliar contable para integrarse a su equipo en Santa Marta. El candidato ideal debera demostrar habilidades solidas en el area de auxiliar contable y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de auxiliar contable, Registrar operaciones contables, Conciliar cuentas, Apoyar procesos de cierre, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: tecnico contable, experiencia minima de 1 ano, manejo de software contable., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",1.200.000,medio_tiempo,entry,"registro contable, facturacion, conciliacion bancaria",2025-05-19 15:55:11,True,finanzas
Gerente financiero,Davivienda,Barranquilla,Davivienda busca un perfil como gerente financiero para integrarse a su equipo en Barranquilla. El candidato ideal debera demostrar habilidades solidas en el area de gerente financiero y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de gerente financiero, Supervisar gestion financiera, Definir politicas economicas, Presentar resultados a la direccion, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: profesional en finanzas o administracion, experiencia directiva minima de 5 anos., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",1.800.000,remoto,entry,"direccion financiera, estrategia financiera, reportes a junta directiva",2025-05-13 15:55:11,True,finanzas
Planeador financiero,Davivienda,Cali,Davivienda busca un perfil como planeador financiero para integrarse a su equipo en Cali. El candidato ideal debera demostrar habilidades solidas en el area de planeador financiero y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de planeador financiero, Desarrollar modelos financieros, Elaborar presupuestos, Hacer seguimiento financiero, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: profesional en economia o finanzas, experiencia en planeacion y presupuestos., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",1.200.000,medio_tiempo,entry,"planeacion financiera, modelos financieros, presupuestos",2025-04-27 15:55:11,True,finanzas
Jefe de cartera,BBVA Colombia,Cali,BBVA Colombia busca un perfil como jefe de cartera para integrarse a su equipo en Cali. El candidato ideal debera demostrar habilidades solidas en el area de jefe de cartera y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de jefe de cartera, Supervisar equipo de cartera, Disenar estrategias de recuperacion, Generar reportes de gestion, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: profesional en administracion o afines, experiencia liderando equipos de cartera., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",1.600.000,pasantia,mid,"gestion de cartera, cobranza, analisis crediticio",2025-04-23 15:55:11,True,finanzas
Planeador financiero,Grupo Aval,Barranquilla,Grupo Aval busca un perfil como planeador financiero para integrarse a su equipo en Barranquilla. El candidato ideal debera demostrar habilidades solidas en el area de planeador financiero y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de planeador financiero, Desarrollar modelos financieros, Elaborar presupuestos, Hacer seguimiento financiero, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: profesional en economia o finanzas, experiencia en planeacion y presupuestos., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",2.000.000,tiempo_completo,entry,"planeacion financiera, modelos financieros, presupuestos",2025-05-01 15:55:11,True,finanzas
Auditor interno,Davivienda,Bucaramanga,Davivienda busca un perfil como auditor interno para integrarse a su equipo en Bucaramanga. El candidato ideal debera demostrar habilidades solidas en el area de auditor interno y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de auditor interno, Revisar procesos internos, Detectar desviaciones, Emitir informes de auditoria, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: profesional en contaduria o administracion, experiencia en auditorias internas., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",7.000.000,tiempo_completo,senior,"auditoria interna, gestion de riesgos, cumplimiento normativo",2025-05-17 15:55:11,True,finanzas
Planeador financiero,Credifamilia,Manizales,Credifamilia busca un perfil como planeador financiero para integrarse a su equipo en Manizales. El candidato ideal debera demostrar habilidades solidas en el area de planeador financiero y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de planeador financiero, Desarrollar modelos financieros, Elaborar presupuestos, Hacer seguimiento financiero, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: profesional en economia o finanzas, experiencia en planeacion y presupuestos., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",2.400.000,medio_tiempo,mid,"planeacion financiera, modelos financieros, presupuestos",2025-04-24 15:55:11,True,finanzas
Planeador financiero,Grupo Aval,Santa Marta,Grupo Aval busca un perfil como planeador financiero para integrarse a su equipo en Santa Marta. El candidato ideal debera demostrar habilidades solidas en el area de planeador financiero y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de planeador financiero, Desarrollar modelos financieros, Elaborar presupuestos, Hacer seguimiento financiero, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: profesional en economia o finanzas, experiencia en planeacion y presupuestos., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",7.000.000,tiempo_completo,senior,"planeacion financiera, modelos financieros, presupuestos",2025-05-07 15:55:11,True,finanzas
Analista de riesgos,Credifamilia,Cartagena,Credifamilia busca un perfil como analista de riesgos para integrarse a su equipo en Cartagena. El candidato ideal debera demostrar habilidades solidas en el area de analista de riesgos y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de analista de riesgos, Evaluar riesgos, Monitorear exposiciones, Recomendar controles, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: profesional en estadistica, ingenieria financiera o afines, experiencia en riesgos financieros., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",4.000.000,tiempo_completo,mid,"gestion de riesgos, analisis estadistico, reportes regulatorios",2025-05-17 15:55:11,True,finanzas
Jefe de cartera,Davivienda,Ibague,Davivienda busca un perfil como jefe de cartera para integrarse a su equipo en Ibague. El candidato ideal debera demostrar habilidades solidas en el area de jefe de cartera y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de jefe de cartera, Supervisar equipo de cartera, Disenar estrategias de recuperacion, Generar reportes de gestion, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: profesional en administracion o afines, experiencia liderando equipos de cartera., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",1.800.000,remoto,entry,"gestion de cartera, cobranza, analisis crediticio",2025-04-24 15:55:11,True,finanzas
Analista financiero,Grupo Aval,Pereira,Grupo Aval busca un perfil como analista financiero para integrarse a su equipo en Pereira. El candidato ideal debera demostrar habilidades solidas en el area de analista financiero y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de analista financiero, Elaborar reportes financieros, Analizar indicadores clave, Apoyar la planeacion financiera, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: profesional en economia, administracion o ingenieria industrial, experiencia minima de 2 anos., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",1.600.000,pasantia,mid,"analisis financiero, manejo de excel, presentacion de informes",2025-05-11 15:55:11,True,finanzas
Tesorero,Banco de Bogota,Barranquilla,Banco de Bogota busca un perfil como tesorero para integrarse a su equipo en Barranquilla. El candidato ideal debera demostrar habilidades solidas en el area de tesorero y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de tesorero, Gestionar pagos, Controlar flujo de caja, Relacion con entidades bancarias, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: profesional en finanzas, administracion o economia, experiencia en manejo de tesoreria., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",2.800.000,pasantia,senior,"manejo de flujo de caja, conciliaciones bancarias, tesoreria",2025-05-12 15:55:11,True,finanzas
Contador publico,Davivienda,Santa Marta,Davivienda busca un perfil como contador publico para integrarse a su equipo en Santa Marta. El candidato ideal debera demostrar habilidades solidas en el area de contador publico y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de contador publico, Llevar libros contables, Elaborar declaraciones fiscales, Preparar estados financieros, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: contador titulado, con tarjeta profesional vigente, experiencia en empresas del sector financiero., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",4.200.000,medio_tiempo,senior,"NIIF, conciliaciones bancarias, declaraciones tributarias",2025-05-03 15:55:11,True,finanzas
Jefe de cartera,Bancolombia,Medellin,Bancolombia busca un perfil como jefe de cartera para integrarse a su equipo en Medellin. El candidato ideal debera demostrar habilidades solidas en el area de jefe de cartera y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de jefe de cartera, Supervisar equipo de cartera, Disenar estrategias de recuperacion, Generar reportes de gestion, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: profesional en administracion o afines, experiencia liderando equipos de cartera., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",4.200.000,medio_tiempo,senior,"gestion de cartera, cobranza, analisis crediticio",2025-04-24 15:55:11,True,finanzas
Asesor comercial financiero,Finandina,Ibague,Finandina busca un perfil como asesor comercial financiero para integrarse a su equipo en Ibague. El candidato ideal debera demostrar habilidades solidas en el area de asesor comercial financiero y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de asesor comercial financiero, Ofrecer productos financieros, Atender consultas de clientes, Realizar seguimiento comercial, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: tecnico o tecnologo en areas comerciales, experiencia en ventas de productos financieros., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",4.000.000,tiempo_completo,mid,"ventas, atencion al cliente, productos financieros",2025-04-25 15:55:11,True,finanzas
Gerente financiero,Grupo Sura,Santa Marta,Grupo Sura busca un perfil como gerente financiero para integrarse a su equipo en Santa Marta. El candidato ideal debera demostrar habilidades solidas en el area de gerente financiero y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de gerente financiero, Supervisar gestion financiera, Definir politicas economicas, Presentar resultados a la direccion, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: profesional en finanzas o administracion, experiencia directiva minima de 5 anos., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",1.200.000,medio_tiempo,entry,"direccion financiera, estrategia financiera, reportes a junta directiva",2025-05-01 15:55:11,True,finanzas
Auxiliar contable,Bancolombia,Ibague,Bancolombia busca un perfil como auxiliar contable para integrarse a su equipo en Ibague. El candidato ideal debera demostrar habilidades solidas en el area de auxiliar contable y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de auxiliar contable, Registrar operaciones contables, Conciliar cuentas, Apoyar procesos de cierre, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: tecnico contable, experiencia minima de 1 ano, manejo de software contable., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",6.300.000,remoto,senior,"registro contable, facturacion, conciliacion bancaria",2025-05-03 15:55:11,True,finanzas
Asesor comercial financiero,Finandina,Cartagena,Finandina busca un perfil como asesor comercial financiero para integrarse a su equipo en Cartagena. El candidato ideal debera demostrar habilidades solidas en el area de asesor comercial financiero y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de asesor comercial financiero, Ofrecer productos financieros, Atender consultas de clientes, Realizar seguimiento comercial, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: tecnico o tecnologo en areas comerciales, experiencia en ventas de productos financieros., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",2.000.000,tiempo_completo,entry,"ventas, atencion al cliente, productos financieros",2025-05-17 15:55:11,True,finanzas
Analista financiero,Colpatria,Santa Marta,Colpatria busca un perfil como analista financiero para integrarse a su equipo en Santa Marta. El candidato ideal debera demostrar habilidades solidas en el area de analista financiero y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de analista financiero, Elaborar reportes financieros, Analizar indicadores clave, Apoyar la planeacion financiera, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: profesional en economia, administracion o ingenieria industrial, experiencia minima de 2 anos., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",4.000.000,tiempo_completo,mid,"analisis financiero, manejo de excel, presentacion de informes",2025-05-07 15:55:11,True,finanzas
Analista financiero,BBVA Colombia,Ibague,BBVA Colombia busca un perfil como analista financiero para integrarse a su equipo en Ibague. El candidato ideal debera demostrar habilidades solidas en el area de analista financiero y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de analista financiero, Elaborar reportes financieros, Analizar indicadores clave, Apoyar la planeacion financiera, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: profesional en economia, administracion o ingenieria industrial, experiencia minima de 2 anos., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",3.600.000,remoto,mid,"analisis financiero, manejo de excel, presentacion de informes",2025-04-27 15:55:11,True,finanzas
Planeador financiero,Grupo Aval,Bucaramanga,Grupo Aval busca un perfil como planeador financiero para integrarse a su equipo en Bucaramanga. El candidato ideal debera demostrar habilidades solidas en el area de planeador financiero y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de planeador financiero, Desarrollar modelos financieros, Elaborar presupuestos, Hacer seguimiento financiero, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: profesional en economia o finanzas, experiencia en planeacion y presupuestos., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",800.000,pasantia,entry,"planeacion financiera, modelos financieros, presupuestos",2025-05-17 15:55:11,True,finanzas
Analista financiero,Grupo Sura,Cartagena,Grupo Sura busca un perfil como analista financiero para integrarse a su equipo en Cartagena. El candidato ideal debera demostrar habilidades solidas en el area de analista financiero y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de analista financiero, Elaborar reportes financieros, Analizar indicadores clave, Apoyar la planeacion financiera, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: profesional en economia, administracion o ingenieria industrial, experiencia minima de 2 anos., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",3.500.000,freelance,senior,"analisis financiero, manejo de excel, presentacion de informes",2025-04-26 15:55:11,True,finanzas
Jefe de cartera,Davivienda,Cali,Davivienda busca un perfil como jefe de cartera para integrarse a su equipo en Cali. El candidato ideal debera demostrar habilidades solidas en el area de jefe de cartera y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de jefe de cartera, Supervisar equipo de cartera, Disenar estrategias de recuperacion, Generar reportes de gestion, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: profesional en administracion o afines, experiencia liderando equipos de cartera., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",3.500.000,freelance,senior,"gestion de cartera, cobranza, analisis crediticio",2025-04-28 15:55:11,True,finanzas
Analista financiero,Colpatria,Cartagena,Colpatria busca un perfil como analista financiero para integrarse a su equipo en Cartagena. El candidato ideal debera demostrar habilidades solidas en el area de analista financiero y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de analista financiero, Elaborar reportes financieros, Analizar indicadores clave, Apoyar la planeacion financiera, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: profesional en economia, administracion o ingenieria industrial, experiencia minima de 2 anos., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",2.800.000,pasantia,senior,"analisis financiero, manejo de excel, presentacion de informes",2025-04-23 15:55:11,True,finanzas
Tesorero,Bancolombia,Ibague,Bancolombia busca un perfil como tesorero para integrarse a su equipo en Ibague. El candidato ideal debera demostrar habilidades solidas en el area de tesorero y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de tesorero, Gestionar pagos, Controlar flujo de caja, Relacion con entidades bancarias, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: profesional en finanzas, administracion o economia, experiencia en manejo de tesoreria., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",1.000.000,freelance,entry,"manejo de flujo de caja, conciliaciones bancarias, tesoreria",2025-04-21 15:55:11,True,finanzas
Tesorero,Bancolombia,Medellin,Bancolombia busca un perfil como tesorero para integrarse a su equipo en Medellin. El candidato ideal debera demostrar habilidades solidas en el area de tesorero y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de tesorero, Gestionar pagos, Controlar flujo de caja, Relacion con entidades bancarias, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: profesional en finanzas, administracion o economia, experiencia en manejo de tesoreria., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",3.600.000,remoto,mid,"manejo de flujo de caja, conciliaciones bancarias, tesoreria",2025-05-09 15:55:11,True,finanzas
Auxiliar contable,Banco de Bogota,Bucaramanga,Banco de Bogota busca un perfil como auxiliar contable para integrarse a su equipo en Bucaramanga. El candidato ideal debera demostrar habilidades solidas en el area de auxiliar contable y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de auxiliar contable, Registrar operaciones contables, Conciliar cuentas, Apoyar procesos de cierre, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: tecnico contable, experiencia minima de 1 ano, manejo de software contable., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",3.500.000,freelance,senior,"registro contable, facturacion, conciliacion bancaria",2025-05-09 15:55:11,True,finanzas
Asesor comercial financiero,Grupo Sura,Pereira,Grupo Sura busca un perfil como asesor comercial financiero para integrarse a su equipo en Pereira. El candidato ideal debera demostrar habilidades solidas en el area de asesor comercial financiero y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de asesor comercial financiero, Ofrecer productos financieros, Atender consultas de clientes, Realizar seguimiento comercial, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: tecnico o tecnologo en areas comerciales, experiencia en ventas de productos financieros., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",7.000.000,tiempo_completo,senior,"ventas, atencion al cliente, productos financieros",2025-05-06 15:55:11,True,finanzas
Contador publico,Finandina,Bucaramanga,Finandina busca un perfil como contador publico para integrarse a su equipo en Bucaramanga. El candidato ideal debera demostrar habilidades solidas en el area de contador publico y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de contador publico, Llevar libros contables, Elaborar declaraciones fiscales, Preparar estados financieros, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: contador titulado, con tarjeta profesional vigente, experiencia en empresas del sector financiero., habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",2.000.000,freelance,mid,"NIIF, conciliaciones bancarias, declaraciones tributarias",2025-05-06 15:55:11,True,finanzas
