Titulo,Empresa,Ubicacion,Descripcion,Responsabilidades,Requisitos,Rango salarial,Tipo de empleo,Nivel de experiencia,Habilidades requeridas,Fecha de publicacion,Estado del empleo,Categoria de trabajo
Disenador Grafico,Vision Digital,Bogota,Vision Digital esta en busqueda de un disenador grafico para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",3.780.196,medio_tiempo,junior,"Photoshop, Illustrator, Creatividad",2025-05-17 17:58:17,True,diseno_grafico
Desarrollador Frontend,Innovapp Labs,Bogota,Innovapp Labs esta en busqueda de un desarrollador frontend para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",1.983.484,tiempo_completo,entry,"Python, Docker, SQL",2025-05-17 17:58:17,True,ingenieria_informatica
Analista Marketing,Agencia Viral,Bogota,Agencia Viral esta en busqueda de un analista marketing para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",8.090.352,contrato,senior,"Google Ads, Analytics, Social Media",2025-05-17 17:58:17,True,marketing_digital
Ingeniero Civil,Constructora Andes,Bogota,Constructora Andes esta en busqueda de un ingeniero civil para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",1.965.722,medio_tiempo,entry,"Proyectos, AutoCAD, Matlab",2025-05-17 17:58:17,True,ingenierias
Consultor de Riesgos,Capital Consulting,Bogota,Capital Consulting esta en busqueda de un consultor de riesgos para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",6.539.120,pasantia,senior,"Contabilidad, Finanzas, SAP",2025-05-17 17:58:17,True,finanzas
Enfermero Profesional,Clinica Vida,Cali,Clinica Vida esta en busqueda de un enfermero profesional para unirse a su equipo en Cali.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",4.795.481,tiempo_completo,mid,"Etica profesional, BLS, Historia Clinica",2025-05-17 17:58:17,True,salud
Profesor de Ingles,Colegio Horizontes,Cali,Colegio Horizontes esta en busqueda de un profesor de ingles para unirse a su equipo en Cali.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",4.776.203,tiempo_completo,mid,"Planificacion, Didactica, TIC educativas",2025-05-17 17:58:17,True,educacion
Asistente Administrativo,Andes Operaciones,Cali,Andes Operaciones esta en busqueda de un asistente administrativo para unirse a su equipo en Cali.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",8.247.204,medio_tiempo,senior,"Planificacion estrategica, ERP, Liderazgo",2025-05-17 17:58:17,True,administracion
Coordinador de Seleccion,TalentoPlus,Bogota,TalentoPlus esta en busqueda de un coordinador de seleccion para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",9.692.517,medio_tiempo,senior,"Entrevistas, Onboarding, Compensaciones",2025-05-17 17:58:17,True,recursos_humanos
Director de Arte,Pixelarte,Bogota,Pixelarte esta en busqueda de un director de arte para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",9.681.435,tiempo_completo,senior,"Illustrator, UX, UI",2025-05-17 17:58:17,True,diseno_grafico
Desarrollador Frontend,Innovapp Labs,Bogota,Innovapp Labs esta en busqueda de un desarrollador frontend para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",3.414.110,pasantia,junior,"Docker, Python, AWS",2025-05-17 17:58:17,True,ingenieria_informatica
Analista Marketing,GrowthMKT,Bogota,GrowthMKT esta en busqueda de un analista marketing para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",3.767.237,contrato,junior,"SEO, Analytics, Social Media",2025-05-17 17:58:17,True,marketing_digital
Ingeniero Ambiental,Grupo Proyectos,Bogota,Grupo Proyectos esta en busqueda de un ingeniero ambiental para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",9.895.746,remoto,senior,"ISO, AutoCAD, Matlab",2025-05-17 17:58:17,True,ingenierias
Consultor de Riesgos,Sigma Holdings,Bogota,Sigma Holdings esta en busqueda de un consultor de riesgos para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",2.006.206,tiempo_completo,entry,"Finanzas, SAP, Contabilidad",2025-05-17 17:58:17,True,finanzas
Fisioterapeuta,Clinica Vida,Bogota,Clinica Vida esta en busqueda de un fisioterapeuta para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",5.641.163,tiempo_completo,mid,"Historia Clinica, Etica profesional, BLS",2025-05-17 17:58:17,True,salud
Profesor de Ingles,Colegio Horizontes,Medellin,Colegio Horizontes esta en busqueda de un profesor de ingles para unirse a su equipo en Medellin.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",6.219.481,tiempo_completo,senior,"Planificacion, TIC educativas, Didactica",2025-05-17 17:58:17,True,educacion
Asistente Administrativo,Global Admin,Bogota,Global Admin esta en busqueda de un asistente administrativo para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",5.531.844,pasantia,mid,"Liderazgo, ERP, Planificacion estrategica",2025-05-17 17:58:17,True,administracion
Especialista en Compensaciones,TalentoPlus,Bogota,TalentoPlus esta en busqueda de un especialista en compensaciones para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",1.420.424,contrato,entry,"Compensaciones, Onboarding, Entrevistas",2025-05-17 17:58:17,True,recursos_humanos
Director de Arte,Vision Digital,Medellin,Vision Digital esta en busqueda de un director de arte para unirse a su equipo en Medellin.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",1.531.953,medio_tiempo,entry,"UX, Illustrator, Creatividad",2025-05-17 17:58:17,True,diseno_grafico
Ingeniero DevOps,Innovapp Labs,Cali,Innovapp Labs esta en busqueda de un ingeniero devops para unirse a su equipo en Cali.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",4.635.164,tiempo_completo,mid,"AWS, Docker, Python",2025-05-17 17:58:17,True,ingenieria_informatica
Community Manager,Agencia Viral,Bogota,Agencia Viral esta en busqueda de un community manager para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",7.156.765,contrato,senior,"Social Media, Google Ads, Analytics",2025-05-17 17:58:17,True,marketing_digital
Ingeniero Mecanico,Grupo Proyectos,Cali,Grupo Proyectos esta en busqueda de un ingeniero mecanico para unirse a su equipo en Cali.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",3.623.621,tiempo_completo,junior,"Matlab, Proyectos, AutoCAD",2025-05-17 17:58:17,True,ingenierias
Analista Financiero,Capital Consulting,Medellin,Capital Consulting esta en busqueda de un analista financiero para unirse a su equipo en Medellin.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",5.680.048,medio_tiempo,mid,"Contabilidad, Excel, SAP",2025-05-17 17:58:17,True,finanzas
Enfermero Profesional,Hospital San Jose,Cali,Hospital San Jose esta en busqueda de un enfermero profesional para unirse a su equipo en Cali.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",2.555.105,medio_tiempo,junior,"Etica profesional, Historia Clinica, BLS",2025-05-17 17:58:17,True,salud
Coordinador Academico,Universidad Metropolitana,Medellin,Universidad Metropolitana esta en busqueda de un coordinador academico para unirse a su equipo en Medellin.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",7.725.913,tiempo_completo,senior,"Planificacion, Didactica, TIC educativas",2025-05-17 17:58:17,True,educacion
Asistente Administrativo,Servicios Integrales PRO,Bogota,Servicios Integrales PRO esta en busqueda de un asistente administrativo para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",7.107.545,contrato,senior,"ERP, Liderazgo, Planificacion estrategica",2025-05-17 17:58:17,True,administracion
HR Business Partner,TalentoPlus,Bogota,TalentoPlus esta en busqueda de un hr business partner para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",2.956.883,medio_tiempo,junior,"Onboarding, Compensaciones, Entrevistas",2025-05-17 17:58:17,True,recursos_humanos
Disenador UX/UI,Pixelarte,Bogota,Pixelarte esta en busqueda de un disenador ux/ui para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",3.113.109,contrato,junior,"UX, Illustrator, UI",2025-05-17 17:58:17,True,diseno_grafico
Desarrollador Backend,Cloudbyte,Bogota,Cloudbyte esta en busqueda de un desarrollador backend para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",4.336.944,tiempo_completo,mid,"Git, SQL, AWS",2025-05-17 17:58:17,True,ingenieria_informatica
Analista Marketing,GrowthMKT,Bogota,GrowthMKT esta en busqueda de un analista marketing para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",1.469.485,tiempo_completo,entry,"Google Ads, SEO, Analytics",2025-05-17 17:58:17,True,marketing_digital
Ingeniero Industrial,Ecomec Ingenieria,Cali,Ecomec Ingenieria esta en busqueda de un ingeniero industrial para unirse a su equipo en Cali.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",1.881.212,remoto,entry,"Matlab, ISO, Proyectos",2025-05-17 17:58:17,True,ingenierias
Analista Financiero,Sigma Holdings,Cali,Sigma Holdings esta en busqueda de un analista financiero para unirse a su equipo en Cali.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",1.271.068,remoto,entry,"SAP, Excel, Contabilidad",2025-05-17 17:58:17,True,finanzas
Psicologo Clinico,Hospital San Jose,Bogota,Hospital San Jose esta en busqueda de un psicologo clinico para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",4.656.454,pasantia,mid,"BLS, Etica profesional, Historia Clinica",2025-05-17 17:58:17,True,salud
Docente de Matematicas,Universidad Metropolitana,Bogota,Universidad Metropolitana esta en busqueda de un docente de matematicas para unirse a su equipo en Bogota.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",5.786.303,contrato,mid,"Planificacion, Didactica, TIC educativas",2025-05-17 17:58:17,True,educacion
Coordinador de Compras,Global Admin,Medellin,Global Admin esta en busqueda de un coordinador de compras para unirse a su equipo en Medellin.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",8.719.469,contrato,senior,"Planificacion estrategica, Liderazgo, ERP",2025-05-17 17:58:17,True,administracion
Especialista en Compensaciones,Human Focus,Cali,Human Focus esta en busqueda de un especialista en compensaciones para unirse a su equipo en Cali.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",2.852.474,contrato,junior,"Entrevistas, Compensaciones, Onboarding",2025-05-17 17:58:17,True,recursos_humanos
Disenador UX/UI,Vision Digital,Medellin,Vision Digital esta en busqueda de un disenador ux/ui para unirse a su equipo en Medellin.,"Trabajar en equipo, cumplir objetivos, mantener calidad.","Formacion academica en el area correspondiente, experiencia relacionada.",1.812.227,pasantia,entry,"UX, Illustrator, Photoshop",2025-05-17 17:58:17,True,diseno_grafico
