Titulo,Empresa,Ubicacion,Descripcion,Responsabilidades,Requisitos,Rango salarial,Tipo de empleo,Nivel de experiencia,Habilidades requeridas,Fecha de publicacion,Estado del empleo,Categoria de trabajo
Desarrollador Backend,Andes Software,Cali,Andes Software busca un perfil como desarrollador backend para integrarse a su equipo en Cali. El candidato ideal debera demostrar habilidades solidas en el area de desarrollador backend y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de desarrollador backend, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva, conocimientos solidos en estructuras de datos y algoritmos.",5.891.054,medio_tiempo,mid,"Git, SQL, Python",2025-05-17 17:58:17,True,ingenieria_informatica
Analista Marketing,Agencia Viral,Cali,Agencia Viral busca un perfil como analista marketing para integrarse a su equipo en Cali. El candidato ideal debera demostrar habilidades solidas en el area de analista marketing y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de analista marketing, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",3.501.672,contrato,junior,"Social Media, SEO, Google Ads",2025-05-17 17:58:17,True,marketing_digital
Ingeniero Civil,Ecomec Ingenieria,Medellin,Ecomec Ingenieria busca un perfil como ingeniero civil para integrarse a su equipo en Medellin. El candidato ideal debera demostrar habilidades solidas en el area de ingeniero civil y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de ingeniero civil, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",3.780.283,pasantia,junior,"Proyectos, Matlab, AutoCAD",2025-05-17 17:58:17,True,ingenierias
Asesor de Inversiones,Banco Andino,Cali,Banco Andino busca un perfil como asesor de inversiones para integrarse a su equipo en Cali. El candidato ideal debera demostrar habilidades solidas en el area de asesor de inversiones y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de asesor de inversiones, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva, conocimiento de normativas contables y tributarias.",8.975.741,pasantia,senior,"Contabilidad, Finanzas, SAP",2025-05-17 17:58:17,True,finanzas
Medico General,Hospital San Jose,Bogota,Hospital San Jose busca un perfil como medico general para integrarse a su equipo en Bogota. El candidato ideal debera demostrar habilidades solidas en el area de medico general y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de medico general, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva, registro profesional vigente y certificaciones actualizadas.",3.267.699,pasantia,junior,"Historia Clinica, BLS, Etica profesional",2025-05-17 17:58:17,True,salud
Docente de Matematicas,Universidad Metropolitana,Cali,Universidad Metropolitana busca un perfil como docente de matematicas para integrarse a su equipo en Cali. El candidato ideal debera demostrar habilidades solidas en el area de docente de matematicas y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de docente de matematicas, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva, experiencia en planeacion curricular y evaluacion educativa.",2.899.120,tiempo_completo,junior,"Planificacion, Didactica, TIC educativas",2025-05-17 17:58:17,True,educacion
Asistente Administrativo,Global Admin,Cali,Global Admin busca un perfil como asistente administrativo para integrarse a su equipo en Cali. El candidato ideal debera demostrar habilidades solidas en el area de asistente administrativo y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de asistente administrativo, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",1.773.597,tiempo_completo,entry,"ERP, Liderazgo, Planificacion estrategica",2025-05-17 17:58:17,True,administracion
Especialista en Compensaciones,TalentoPlus,Medellin,TalentoPlus busca un perfil como especialista en compensaciones para integrarse a su equipo en Medellin. El candidato ideal debera demostrar habilidades solidas en el area de especialista en compensaciones y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de especialista en compensaciones, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",3.648.889,remoto,junior,"Entrevistas, Onboarding, Compensaciones",2025-05-17 17:58:17,True,recursos_humanos
Director de Arte,Vision Digital,Cali,Vision Digital busca un perfil como director de arte para integrarse a su equipo en Cali. El candidato ideal debera demostrar habilidades solidas en el area de director de arte y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de director de arte, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",2.314.404,remoto,entry,"UI, UX, Illustrator",2025-05-17 17:58:17,True,diseno_grafico
Ingeniero de Datos,Cloudbyte,Cali,Cloudbyte busca un perfil como ingeniero de datos para integrarse a su equipo en Cali. El candidato ideal debera demostrar habilidades solidas en el area de ingeniero de datos y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de ingeniero de datos, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva, conocimientos solidos en estructuras de datos y algoritmos.",9.012.706,remoto,senior,"Python, Git, SQL",2025-05-17 17:58:17,True,ingenieria_informatica
Especialista SEO,DigitalBoost,Bogota,DigitalBoost busca un perfil como especialista seo para integrarse a su equipo en Bogota. El candidato ideal debera demostrar habilidades solidas en el area de especialista seo y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de especialista seo, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",3.627.888,medio_tiempo,junior,"Analytics, Google Ads, SEO",2025-05-17 17:58:17,True,marketing_digital
Ingeniero Civil,Grupo Proyectos,Bogota,Grupo Proyectos busca un perfil como ingeniero civil para integrarse a su equipo en Bogota. El candidato ideal debera demostrar habilidades solidas en el area de ingeniero civil y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de ingeniero civil, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",5.499.694,remoto,mid,"Matlab, AutoCAD, Proyectos",2025-05-17 17:58:17,True,ingenierias
Contador Publico,Capital Consulting,Cali,Capital Consulting busca un perfil como contador publico para integrarse a su equipo en Cali. El candidato ideal debera demostrar habilidades solidas en el area de contador publico y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de contador publico, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva, conocimiento de normativas contables y tributarias.",1.351.323,medio_tiempo,entry,"Contabilidad, Finanzas, Excel",2025-05-17 17:58:17,True,finanzas
Medico General,Hospital San Jose,Medellin,Hospital San Jose busca un perfil como medico general para integrarse a su equipo en Medellin. El candidato ideal debera demostrar habilidades solidas en el area de medico general y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de medico general, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva, registro profesional vigente y certificaciones actualizadas.",3.869.949,medio_tiempo,junior,"Historia Clinica, Etica profesional, BLS",2025-05-17 17:58:17,True,salud
Coordinador Academico,Colegio Horizontes,Bogota,Colegio Horizontes busca un perfil como coordinador academico para integrarse a su equipo en Bogota. El candidato ideal debera demostrar habilidades solidas en el area de coordinador academico y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de coordinador academico, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva, experiencia en planeacion curricular y evaluacion educativa.",2.227.459,pasantia,entry,"Planificacion, Didactica, TIC educativas",2025-05-17 17:58:17,True,educacion
Jefe de Logistica,Andes Operaciones,Medellin,Andes Operaciones busca un perfil como jefe de logistica para integrarse a su equipo en Medellin. El candidato ideal debera demostrar habilidades solidas en el area de jefe de logistica y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de jefe de logistica, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",3.057.998,pasantia,junior,"Liderazgo, ERP, Planificacion estrategica",2025-05-17 17:58:17,True,administracion
Coordinador de Seleccion,TalentoPlus,Bogota,TalentoPlus busca un perfil como coordinador de seleccion para integrarse a su equipo en Bogota. El candidato ideal debera demostrar habilidades solidas en el area de coordinador de seleccion y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de coordinador de seleccion, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",2.916.232,contrato,junior,"Onboarding, Entrevistas, Compensaciones",2025-05-17 17:58:17,True,recursos_humanos
Disenador UX/UI,Pixelarte,Bogota,Pixelarte busca un perfil como disenador ux/ui para integrarse a su equipo en Bogota. El candidato ideal debera demostrar habilidades solidas en el area de disenador ux/ui y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de disenador ux/ui, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",3.975.368,pasantia,junior,"UI, Creatividad, Illustrator",2025-05-17 17:58:17,True,diseno_grafico
Ingeniero de Datos,Andes Software,Bogota,Andes Software busca un perfil como ingeniero de datos para integrarse a su equipo en Bogota. El candidato ideal debera demostrar habilidades solidas en el area de ingeniero de datos y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de ingeniero de datos, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva, conocimientos solidos en estructuras de datos y algoritmos.",3.357.474,tiempo_completo,junior,"AWS, Git, SQL",2025-05-17 17:58:17,True,ingenieria_informatica
Especialista SEO,GrowthMKT,Bogota,GrowthMKT busca un perfil como especialista seo para integrarse a su equipo en Bogota. El candidato ideal debera demostrar habilidades solidas en el area de especialista seo y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de especialista seo, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",6.941.701,contrato,senior,"Google Ads, Social Media, SEO",2025-05-17 17:58:17,True,marketing_digital
Ingeniero Mecanico,Ecomec Ingenieria,Cali,Ecomec Ingenieria busca un perfil como ingeniero mecanico para integrarse a su equipo en Cali. El candidato ideal debera demostrar habilidades solidas en el area de ingeniero mecanico y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de ingeniero mecanico, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",5.510.250,tiempo_completo,mid,"ISO, AutoCAD, Proyectos",2025-05-17 17:58:17,True,ingenierias
Contador Publico,Banco Andino,Medellin,Banco Andino busca un perfil como contador publico para integrarse a su equipo en Medellin. El candidato ideal debera demostrar habilidades solidas en el area de contador publico y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de contador publico, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva, conocimiento de normativas contables y tributarias.",3.803.917,pasantia,junior,"Finanzas, Excel, Contabilidad",2025-05-17 17:58:17,True,finanzas
Fisioterapeuta,Hospital San Jose,Cali,Hospital San Jose busca un perfil como fisioterapeuta para integrarse a su equipo en Cali. El candidato ideal debera demostrar habilidades solidas en el area de fisioterapeuta y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de fisioterapeuta, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva, registro profesional vigente y certificaciones actualizadas.",6.737.344,pasantia,senior,"BLS, Historia Clinica, Etica profesional",2025-05-17 17:58:17,True,salud
Coordinador Academico,Coder Academy,Cali,Coder Academy busca un perfil como coordinador academico para integrarse a su equipo en Cali. El candidato ideal debera demostrar habilidades solidas en el area de coordinador academico y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de coordinador academico, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva, experiencia en planeacion curricular y evaluacion educativa.",3.223.337,contrato,junior,"TIC educativas, Didactica, Planificacion",2025-05-17 17:58:17,True,educacion
Jefe de Logistica,Servicios Integrales PRO,Medellin,Servicios Integrales PRO busca un perfil como jefe de logistica para integrarse a su equipo en Medellin. El candidato ideal debera demostrar habilidades solidas en el area de jefe de logistica y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de jefe de logistica, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",4.331.599,medio_tiempo,mid,"ERP, Planificacion estrategica, Liderazgo",2025-05-17 17:58:17,True,administracion
Analista de Talento Humano,TalentoPlus,Cali,TalentoPlus busca un perfil como analista de talento humano para integrarse a su equipo en Cali. El candidato ideal debera demostrar habilidades solidas en el area de analista de talento humano y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de analista de talento humano, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",1.674.482,medio_tiempo,entry,"Entrevistas, Onboarding, Compensaciones",2025-05-17 17:58:17,True,recursos_humanos
Ilustrador Digital,Vision Digital,Cali,Vision Digital busca un perfil como ilustrador digital para integrarse a su equipo en Cali. El candidato ideal debera demostrar habilidades solidas en el area de ilustrador digital y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de ilustrador digital, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",1.931.090,remoto,entry,"UI, Illustrator, Creatividad",2025-05-17 17:58:17,True,diseno_grafico
Desarrollador Frontend,Andes Software,Medellin,Andes Software busca un perfil como desarrollador frontend para integrarse a su equipo en Medellin. El candidato ideal debera demostrar habilidades solidas en el area de desarrollador frontend y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de desarrollador frontend, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva, conocimientos solidos en estructuras de datos y algoritmos.",8.850.073,medio_tiempo,senior,"Docker, SQL, AWS",2025-05-17 17:58:17,True,ingenieria_informatica
Community Manager,DigitalBoost,Cali,DigitalBoost busca un perfil como community manager para integrarse a su equipo en Cali. El candidato ideal debera demostrar habilidades solidas en el area de community manager y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de community manager, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",2.353.287,remoto,entry,"Google Ads, SEO, Analytics",2025-05-17 17:58:17,True,marketing_digital
Ingeniero Civil,Ecomec Ingenieria,Medellin,Ecomec Ingenieria busca un perfil como ingeniero civil para integrarse a su equipo en Medellin. El candidato ideal debera demostrar habilidades solidas en el area de ingeniero civil y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de ingeniero civil, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva.",1.513.649,tiempo_completo,entry,"Matlab, ISO, AutoCAD",2025-05-17 17:58:17,True,ingenierias
Contador Publico,Capital Consulting,Medellin,Capital Consulting busca un perfil como contador publico para integrarse a su equipo en Medellin. El candidato ideal debera demostrar habilidades solidas en el area de contador publico y tener pasion por la excelencia profesional.,"Desempenar tareas relacionadas con el rol de contador publico, colaborar con equipos interdisciplinarios, cumplir con los objetivos del area, participar en la mejora continua de procesos y presentar reportes periodicos de resultados.","Se requiere: titulo universitario o tecnico en un campo relacionado, experiencia minima de 1 ano en cargos similares, habilidad para trabajar bajo presion, capacidad de comunicacion efectiva, conocimiento de normativas contables y tributarias.",6.861.677,pasantia,senior,"Finanzas, SAP, Contabilidad",2025-05-17 17:58:17,True,finanzas
